Avg. Ngram Score,spacer,DE94cd,DE,DL,Da,Db,De Cmc,De2000,De94,Gimage Colors Hex,Number of Records,Term,Xkcd Colors Hex
0.800422721,1,1.029594374,2.43291551,-0.461128302,-0.020804053,-2.388724714,1.166301672,1,1.130356781,#39ADDC,1,azure,#2aacdf
0.853229283,1,9.339395598,27.54062633,0.614693421,-27.51353687,-1.055243674,9.708198772,8,9.548220605,#96DD21,1,lime,#3ee923
0.850255724,1,7.243753378,11.03044648,-9.090319312,-6.202765309,0.750031228,9.238961545,12,10.66141063,#6E6D7B,1,slate,#4d5a63
0.853441965,1,8.805279858,17.55395056,-14.93397221,-8.596721603,3.348735872,9.171290727,15,15.58812698,#9382D0,1,periwinkle,#5e62a1
0.833835315,1,8.634567792,17.06865969,16.61333389,3.217816644,2.232025247,11.75740291,11,16.78528676,#320A21,1,eggplant,#5f2c42
0.852938113,1,12.058429,30.33601996,22.85438623,15.12647797,-13.00541431,13.49914592,18,23.26514717,#1c0a85,1,indigo,#6e33da
0.881147683,1,12.82257712,44.5549383,6.606349027,-40.74912156,16.76328641,16.32129346,13,12.72642188,#9f00ff,1,violet,#7b64f4
0.855400224,1,14.57971402,43.78007739,15.33142372,2.243460313,40.94642242,17.28810965,22,23.14267495,#56603E,1,olive,#8f8400
0.850194234,1,4.049036172,8.570589015,-4.66486825,7.174999421,-0.461934607,5.16411182,6,5.745768677,#A34F35,1,rust,#9e3c2c
0.851930047,1,7.333439827,21.30730922,2.882111765,-18.63464668,9.921935336,8.517540675,8,8.810813453,#5DC4B3,1,aquamarine,#16d3a8
0.871069194,1,3.92185344,8.774650589,-3.500982629,7.202316726,-3.586676368,3.839582965,4,4.868725298,#00ffef,1,turquoise,#36f2ec
0.839136944,1,6.632978973,13.2586868,-13.25253383,-0.263667454,-0.305944585,5.38014726,10,13.25576927,#AAC89E,1,sage,#86a47c
0.929705212,1,5.272748267,10.88832388,10.02357805,-3.869197152,-1.764311032,4.701021391,10,10.17790686,#008080,1,teal,#079c9d
0.8512023,1,14.65463948,44.81133926,14.17896975,24.90272368,-34.45094043,18.83130993,18,21.89764671,#390627,1,plum,#64037b
0.776688683,1,2.023367588,3.74602707,1.456938712,3.316928999,-0.952906296,2.730958526,2,2.39705435,#4B1110,1,wine,#521015
0.850976598,1,7.792778415,12.34105233,-0.386193011,-11.44122961,4.609847353,8.139815649,10,8.121379239,#bcae8a,1,khaki,#a9b380
0.822492294,1,8.005942152,26.78095213,1.797999711,22.08337217,15.04364542,11.28632873,10,10.09877191,#7e4d31,1,brick,#a13d1c
0.844655198,1,9.639204113,33.65967224,-9.551278973,-7.500596818,31.39247764,12.19982949,13,14.40241463,#CBAE72,1,puke,#ad9803
0.85061381,1,9.324703044,26.9626097,9.436327642,-16.36907562,19.23516067,10.56055174,11,13.88420232,#ADDCB8,1,mint,#b2feac
0.85038449,1,10.6006587,21.07043666,3.173487637,-14.25453481,15.18882861,11.52960047,13,12.07622883,#C0A481,1,sand,#b8b46c
0.777859974,1,4.704078041,18.2020668,-1.520385345,15.16994629,9.943660986,6.776297966,6,5.58175747,#a24c2c,1,terracotta,#b13617
0.854865266,1,7.727603087,24.72606566,5.294873443,13.74713111,-19.85847488,9.56761387,10,10.32639741,#ac7dae,1,lilac,#c082e0
0.852292111,1,6.042291315,14.56179027,10.10183675,10.40636655,1.306202651,6.285752446,10,10.785243,#95485A,1,rose,#c05771
0.852220132,1,5.675925043,13.59809205,-9.647077384,3.88374112,-8.761196282,5.479434591,8,10.07239134,#E4BA16,1,mustard,#cb9e17
0.768612946,1,8.288854817,15.61880711,-12.24920409,-1.138153086,9.623343605,9.921160571,11,13.60840546,#ECC1B0,1,skin,#cca07e
0.851232683,1,0.873214008,2.050846209,-1.486339861,-0.574538639,-1.290995485,0.732534501,1,1.551691389,#dfff00,1,chartreuse,#d9fb00
0.869198575,1,4.452754593,8.911899774,8.500782807,2.28659483,-1.389292382,3.431095458,6,8.612495739,#C4B5E0,1,lavender,#dfcbfb
0.851406663,1,7.17810415,27.18971342,7.173614475,7.034692443,25.26525032,9.446592388,9,10.42742115,#bc9c4a,1,gold,#e2aa1c
0.854342967,1,13.93841058,24.94781122,-6.106521922,-0.673849089,-24.17952857,14.57704225,14,14.10438165,#FE7F6C,1,salmon,#e27187
0.829273448,1,8.034057535,16.6020995,-1.957181156,15.26391034,6.229943075,10.12853065,11,10.0914289,#d2bbb0,1,flesh,#eaaba0
0.822800528,1,11.91063763,30.7506461,-10.11919903,0.907138386,29.0238031,13.71362764,16,18.33924644,#F6FAE3,1,cream,#eddb8f
0.850234383,1,5.022780879,15.80139654,-2.356452556,10.82153534,11.27056506,6.920843301,6,5.635179155,#EEB83E,1,goldenrod,#f9aa0f
0.9079864,1,3.976416083,10.71076438,6.104604321,-2.101312317,-8.546272061,4.796533302,6,6.589420536,#E05800,1,orange,#f06b2f
0.868299996,1,8.994112473,24.37642977,6.261352135,14.52360564,18.54914222,10.34177518,10,10.83065778,#CA2E6F,1,fuchsia,#f51661
0.819656539,1,1.354822389,4.80918574,-0.393496803,3.788370008,2.936269816,1.825400913,1,1.495462856,#F88379,1,coral,#fd7e73
0.853385901,1,13.22230049,38.77924527,-12.16548054,19.48209363,31.24546327,17.47360985,18,20.42437192,#F7C7C3,1,peach,#ff956a
